T(K),xx,yy,zz,yz,xz,xy
0.0,0.000,0.000,0.000,0.000,0.000,0.000
10.0,36.191,36.191,55.049,-21.805,-21.805,10.743
20.0,25.113,25.113,34.917,-9.386,-9.386,-2.298
30.0,20.458,20.458,27.171,-5.108,-5.108,-4.417
40.0,16.519,16.519,21.627,-3.239,-3.239,-4.092
50.0,13.332,13.332,17.514,-2.262,-2.262,-3.420
60.0,10.980,10.980,14.658,-1.715,-1.715,-2.829
70.0,9.285,9.285,12.675,-1.387,-1.387,-2.371
80.0,8.050,8.050,11.253,-1.175,-1.175,-2.022
90.0,7.129,7.129,10.191,-1.028,-1.028,-1.755
100.0,6.423,6.423,9.364,-0.920,-0.920,-1.546
110.0,5.866,5.866,8.697,-0.836,-0.836,-1.381
120.0,5.415,5.415,8.142,-0.768,-0.768,-1.246
130.0,5.043,5.043,7.668,-0.711,-0.711,-1.136
140.0,4.730,4.730,7.257,-0.663,-0.663,-1.044
150.0,4.461,4.461,6.893,-0.621,-0.621,-0.965
160.0,4.228,4.228,6.568,-0.585,-0.585,-0.898
170.0,4.023,4.023,6.275,-0.553,-0.553,-0.840
180.0,3.841,3.841,6.008,-0.524,-0.524,-0.789
190.0,3.678,3.678,5.763,-0.498,-0.498,-0.744
200.0,3.531,3.531,5.538,-0.475,-0.475,-0.704
210.0,3.397,3.397,5.330,-0.454,-0.454,-0.668
220.0,3.274,3.274,5.137,-0.434,-0.434,-0.636
230.0,3.161,3.161,4.957,-0.417,-0.417,-0.607
240.0,3.056,3.056,4.789,-0.400,-0.400,-0.581
250.0,2.959,2.959,4.631,-0.385,-0.385,-0.556
260.0,2.869,2.869,4.484,-0.371,-0.371,-0.534
270.0,2.784,2.784,4.345,-0.358,-0.358,-0.514
280.0,2.704,2.704,4.214,-0.346,-0.346,-0.495
290.0,2.629,2.629,4.091,-0.335,-0.335,-0.477
300.0,2.558,2.558,3.974,-0.324,-0.324,-0.461
310.0,2.491,2.491,3.864,-0.314,-0.314,-0.446
320.0,2.428,2.428,3.759,-0.305,-0.305,-0.432
330.0,2.368,2.368,3.660,-0.296,-0.296,-0.418
340.0,2.310,2.310,3.565,-0.288,-0.288,-0.406
350.0,2.256,2.256,3.475,-0.280,-0.280,-0.394
360.0,2.203,2.203,3.390,-0.273,-0.273,-0.383
370.0,2.154,2.154,3.308,-0.265,-0.265,-0.372
380.0,2.106,2.106,3.230,-0.259,-0.259,-0.363
390.0,2.060,2.060,3.155,-0.252,-0.252,-0.353
400.0,2.017,2.017,3.084,-0.246,-0.246,-0.344
410.0,1.975,1.975,3.016,-0.241,-0.241,-0.336
420.0,1.934,1.934,2.950,-0.235,-0.235,-0.328
430.0,1.895,1.895,2.888,-0.230,-0.230,-0.320
440.0,1.858,1.858,2.828,-0.225,-0.225,-0.313
450.0,1.822,1.822,2.770,-0.220,-0.220,-0.306
460.0,1.788,1.788,2.714,-0.215,-0.215,-0.299
470.0,1.754,1.754,2.661,-0.211,-0.211,-0.293
480.0,1.722,1.722,2.609,-0.207,-0.207,-0.287
490.0,1.691,1.691,2.560,-0.202,-0.202,-0.281
500.0,1.661,1.661,2.512,-0.198,-0.198,-0.275
510.0,1.632,1.632,2.466,-0.195,-0.195,-0.270
520.0,1.604,1.604,2.422,-0.191,-0.191,-0.265
530.0,1.577,1.577,2.379,-0.188,-0.188,-0.260
540.0,1.551,1.551,2.337,-0.184,-0.184,-0.255
550.0,1.526,1.526,2.297,-0.181,-0.181,-0.250
560.0,1.501,1.501,2.258,-0.178,-0.178,-0.246
570.0,1.477,1.477,2.221,-0.175,-0.175,-0.241
580.0,1.454,1.454,2.185,-0.172,-0.172,-0.237
590.0,1.432,1.432,2.149,-0.169,-0.169,-0.233
600.0,1.410,1.410,2.115,-0.166,-0.166,-0.229
610.0,1.389,1.389,2.082,-0.163,-0.163,-0.225
620.0,1.368,1.368,2.050,-0.161,-0.161,-0.222
630.0,1.348,1.348,2.019,-0.158,-0.158,-0.218
640.0,1.329,1.329,1.989,-0.156,-0.156,-0.215
650.0,1.310,1.310,1.960,-0.154,-0.154,-0.212
660.0,1.291,1.291,1.931,-0.151,-0.151,-0.208
670.0,1.274,1.274,1.904,-0.149,-0.149,-0.205
680.0,1.256,1.256,1.877,-0.147,-0.147,-0.202
